Flight No,Origin,Destination,Airline,Equipment,Type,o_iata,d_iata
UA82,New York,Delhi,United Airlines,B789,I,EWR,DEL
UA83,Delhi,New York,United Airlines,B789,I,DEL,EWR
UK105,Mumbai,Singapore,Vistara,A21N,I,BOM,SIN
UK106,Singapore,Mumbai,Vistara,A21N,I,SIN,BOM
UK107,Mumbai,Singapore,Vistara,A21N,I,BOM,SIN
UK108,Singapore,Mumbai,Vistara,A21N,I,SIN,BOM
UK110,Singapore,Pune,Vistara,A21N,I,SIN,PNQ
UK111,Pune,Singapore,Vistara,A21N,I,PNQ,SIN
UK115,Delhi,Singapore,Vistara,A21N,I,DEL,SIN
UK116,Singapore,Delhi,Vistara,A21N,I,SIN,DEL
UK121,Delhi,Bangkok,Vistara,A21N,I,DEL,BKK
UK122,Bangkok,Delhi,Vistara,A21N,I,BKK,DEL
UK123,Mumbai,Bangkok,Vistara ,A21N,I,BOM,BKK
UK124,Bangkok,Mumbai,Vistara ,A21N,I,BKK,BOM
UK131,Mumbai,Colombo,Vistara,A21N,I,BOM,CMB
UK132,Colombo,Mumbai,Vistara,A21N,I,CMB,BOM
UK145,Delhi,Denpasar,Vistara,B789,I,DEL,DPS
UK146,Denpasar,Delhi,Vistara,B789,I,DPS,DEL
UK155,Delhi,Kathmandu,Vistara,A20N,I,DEL,KTM
UK156,Kathmandu,Delhi,Vistara,A20N,I,KTM,DEL
UK157,Delhi,Kathmandu,Vistara,A20N,I,DEL,KTM
UK158,Kathmandu,Delhi,Vistara,A20N,I,KTM,DEL
UK161,Delhi,Hong Kong,Vistara,A21N,I,DEL,HKG
UK162,Hong Kong,Delhi,Vistara,A21N,I,HKG,DEL
UK17,Delhi,London,Vistara,B789,I,DEL,LHR
UK18,London,Delhi,Vistara,B789,I,LHR,DEL
UK181,Delhi,Dhaka,Vistara ,A20N,I,DEL,DAC
UK182,Dhaka,Delhi,Vistara ,A20N,I,DAC,DEL
UK183,Mumbai,Dhaka,Vistara,A20N,I,BOM,DAC
UK184,Dhaka,Mumbai,Vistara,A20N,I,DAC,BOM
UK201,Mumbai,Dubai,Vistara,A21N,I,BOM,DXB
